"Laptop", "Asus Zenbook 14", 1050.000000, "21842", 5, "an asus laptop"
"Drink", "Coca Cola", 0.750000, "12991", 100, "A type of soda"
"Phone", "Iphone Pro Max", 999.000000, "12646", 12, "No description"
"Energy Drink", "Redbull", 1.000000, "21470", 50, "Energy drink with lots of sugar yum yum"
"Toy", "Rubber Duck", 2.000000, "21925", 30, "A rubber duck that will help you debug codes, Duck Debugger"
"Television", "LG TV", 1000.000000, "00013", 5, "No description"
"Earbuds", "Airpods", 250.000000, "17674", 21, "An overpriced earbuds from Apple"
"Laptop Accessory", "Charger", 30.000000, "28451", 15, "A general laptop charger"
"Vegetable", "Potato", 0.250000, "29851", 100, "I am a potato"
"Food", "Egg", 1200.000000, "19483", 1, "A very expensive egg"
"Headphone", "Some Headphones", 200.000000, "14470", 10, "No description"
"Mouse", "Logitech G304", 40.000000, "09293", 15, "a wireless mouse from logitech"
"Backpack", "The Backpack", 30.000000, "07760", 10, "No description"
